화물>자가용,특수>관용,date,화물>계,총계>자가용,승합>자가용,특수>계,승용>영업용,화물>관용,특수>영업용,시군구,총계>관용,총계>영업용,총계>계,시도명,승합>관용,화물>영업용,승합>계,승용>관용,승용>자가용,승용>계,특수>자가용,승합>영업용
10358,7,202606,13262,138743,2660,694,4825,146,414,양천구,343,8737,147823,서울,64,2758,3464,126,125452,130403,273,740
12356,17,202606,16909,133637,3154,1160,2786,177,684,영등포구,382,8047,142066,서울,60,4376,3415,128,117668,120582,459,201
4401,9,202606,5611,68754,1506,185,1044,127,32,용산구,346,2231,71331,서울,55,1083,1633,155,62703,63902,144,72
9379,16,202606,11529,124967,2521,403,4127,141,176,은평구,292,7061,132320,서울,45,2009,3315,90,112856,117073,211,749
3499,103,202606,5573,43521,1260,301,303,347,98,종로구,3864,2380,49765,서울,1494,1727,3006,1920,38662,40885,100,252
4390,27,202606,5684,44591,1585,292,1225,179,88,중구,1310,2731,48632,서울,810,1115,2698,294,38439,39958,177,303
10966,13,202606,13802,104894,2551,580,6021,123,318,중랑구,247,9631,114772,서울,32,2713,3162,79,91128,97228,249,579
231704,432,202606,294390,2956499,60031,11758,106791,3908,5108,계,12885,185226,3154610,서울,3634,58778,78214,4911,2658546,2770248,6218,14549
16245,10,202606,19163,93213,1514,1138,1676,134,670,강서구,356,5544,99113,부산,80,2784,2008,132,74996,76804,458,414
9136,13,202606,12162,75721,1810,818,2382,100,603,금정구,279,6868,82868,부산,60,2926,2827,106,64573,67061,202,957
10687,13,202606,12234,89974,1863,563,878,128,271,기장군,271,3100,93345,부산,47,1419,2442,83,77145,78106,279,532
8392,4,202606,13018,94187,1870,1836,2933,58,1485,남구,217,9480,103884,부산,53,4568,2417,102,83578,86613,347,494
3435,5,202606,5757,48703,751,1132,1055,62,1040,동구,199,4533,53435,부산,45,2260,974,87,44430,45572,87,178
9519,2,202606,11214,99474,1710,501,1808,66,275,동래구,178,4054,103706,부산,27,1629,2079,83,88021,89912,224,342
12831,10,202606,15513,142360,2433,793,33577,169,571,부산진구,380,37196,179936,부산,62,2513,3030,139,126884,160600,212,535
11357,11,202606,13041,99652,1875,473,1461,105,258,북구,286,3618,103556,부산,48,1579,2243,122,86216,87799,204,320
13730,8,202606,16136,81826,1871,564,2312,99,314,사상구,266,5136,87228,부산,52,2307,2126,107,65983,68402,242,203
12405,10,202606,14503,106246,2365,511,3436,103,266,사하구,283,5966,112495,부산,50,1995,2684,120,91241,94797,235,269
3520,0,202606,4436,30714,771,152,361,41,81,서구,145,1335,32194,부산,30,875,819,74,26352,26787,71,18
5197,12,202606,6474,64938,1280,490,58683,82,330,수영구,220,60837,125995,부산,38,1195,1947,88,58313,117084,148,629
8754,30,202606,11272,129431,1621,951,32059,181,712,연제구,1080,35908,166419,부산,488,2337,2909,381,118847,151287,209,800
3892,8,202606,4356,30834,856,114,1262,83,55,영도구,233,2013,33080,부산,51,381,1222,91,26035,27388,51,315
1733,14,202606,7116,38057,441,1804,121,75,1691,중구,314,7125,45496,부산,61,5308,507,164,35784,36069,99,5
12213,9,202606,14561,158562,2559,834,1947,124,479,해운대구,335,4892,163789,부산,57,2224,2858,145,143444,145536,346,242
143046,159,202606,180956,1383892,25590,12674,145951,1610,9101,계,5042,197605,1586539,부산,1249,36300,33092,2024,1211842,1359817,3414,6253
5312,3,202606,5520,16139,356,91,66,55,19,군위군,142,259,16540,대구,36,153,413,48,10402,10516,69,21
6137,3,202606,6745,58084,1171,202,937,83,55,남구,430,1626,60140,대구,233,525,1513,111,50632,51680,144,109
28266,16,202606,33888,271296,4181,1279,27175,179,609,달서구,568,33954,305818,대구,114,5443,5022,259,238195,265629,654,727
19222,67,202606,22335,139224,2559,799,1505,308,287,달성군,623,5092,144939,대구,118,2805,3172,130,116998,118633,445,495
18908,10,202606,22974,165913,2925,1039,4169,159,524,동구,378,9328,175619,대구,89,3907,3742,120,143575,147864,505,728
27194,29,202606,31927,200961,3301,1079,2447,227,445,북구,557,8047,209565,대구,123,4506,4073,178,169861,172486,605,649
10632,9,202606,12288,73989,1496,305,3122,123,113,서구,271,4956,79216,대구,40,1533,1724,99,61678,64899,183,188
15002,14,202606,16610,212882,2761,704,2949,211,175,수성구,603,5130,218615,대구,181,1397,3551,197,194604,197750,515,609
4153,17,202606,4793,55134,966,155,1120,151,30,중구,328,1952,57414,대구,69,489,1348,91,49907,51118,108,313
134826,168,202606,157080,1193622,19716,5653,43490,1496,2257,계,3900,70344,1267866,대구,1003,20758,24558,1233,1035852,1080575,3228,3839
