stat_month,region_level,sido_name,sigungu_name,vehicle_type,use_type,registration_count,unit,source_measure_key,source_form_id,source_row_no,is_aggregate
202604,시군구,서울,서대문구,passenger,official,219,대,승용>관용,5498,14,0
202604,시군구,서울,서대문구,passenger,private,77207,대,승용>자가용,5498,14,0
202604,시군구,서울,서대문구,passenger,total,80883,대,승용>계,5498,14,1
202604,시군구,서울,서대문구,special,private,158,대,특수>자가용,5498,14,0
202604,시군구,서울,서대문구,van,business,399,대,승합>영업용,5498,14,0
202604,시군구,서울,서초구,truck,private,10205,대,화물>자가용,5498,15,0
202604,시군구,서울,서초구,special,official,14,대,특수>관용,5498,15,0
202604,시군구,서울,서초구,truck,total,14415,대,화물>계,5498,15,1
202604,시군구,서울,서초구,total,private,169725,대,총계>자가용,5498,15,1
202604,시군구,서울,서초구,van,private,2735,대,승합>자가용,5498,15,0
202604,시군구,서울,서초구,special,total,516,대,특수>계,5498,15,1
202604,시군구,서울,서초구,passenger,business,3046,대,승용>영업용,5498,15,0
202604,시군구,서울,서초구,truck,official,184,대,화물>관용,5498,15,0
202604,시군구,서울,서초구,special,business,226,대,특수>영업용,5498,15,0
202604,시군구,서울,서초구,total,official,497,대,총계>관용,5498,15,1
202604,시군구,서울,서초구,total,business,7936,대,총계>영업용,5498,15,1
202604,시군구,서울,서초구,total,total,178158,대,총계>계,5498,15,1
202604,시군구,서울,서초구,van,official,132,대,승합>관용,5498,15,0
202604,시군구,서울,서초구,truck,business,4026,대,화물>영업용,5498,15,0
202604,시군구,서울,서초구,van,total,3505,대,승합>계,5498,15,1
202604,시군구,서울,서초구,passenger,official,167,대,승용>관용,5498,15,0
202604,시군구,서울,서초구,passenger,private,156509,대,승용>자가용,5498,15,0
202604,시군구,서울,서초구,passenger,total,159722,대,승용>계,5498,15,1
202604,시군구,서울,서초구,special,private,276,대,특수>자가용,5498,15,0
202604,시군구,서울,서초구,van,business,638,대,승합>영업용,5498,15,0
202604,시군구,서울,성동구,truck,private,7964,대,화물>자가용,5498,16,0
202604,시군구,서울,성동구,special,official,17,대,특수>관용,5498,16,0
202604,시군구,서울,성동구,truck,total,10063,대,화물>계,5498,16,1
202604,시군구,서울,성동구,total,private,93573,대,총계>자가용,5498,16,1
202604,시군구,서울,성동구,van,private,1608,대,승합>자가용,5498,16,0
202604,시군구,서울,성동구,special,total,384,대,특수>계,5498,16,1
202604,시군구,서울,성동구,passenger,business,8017,대,승용>영업용,5498,16,0
202604,시군구,서울,성동구,truck,official,178,대,화물>관용,5498,16,0
202604,시군구,서울,성동구,special,business,150,대,특수>영업용,5498,16,0
202604,시군구,서울,성동구,total,official,378,대,총계>관용,5498,16,1
202604,시군구,서울,성동구,total,business,11030,대,총계>영업용,5498,16,1
202604,시군구,서울,성동구,total,total,104981,대,총계>계,5498,16,1
202604,시군구,서울,성동구,van,official,50,대,승합>관용,5498,16,0
202604,시군구,서울,성동구,truck,business,1921,대,화물>영업용,5498,16,0
202604,시군구,서울,성동구,van,total,2600,대,승합>계,5498,16,1
202604,시군구,서울,성동구,passenger,official,133,대,승용>관용,5498,16,0
202604,시군구,서울,성동구,passenger,private,83784,대,승용>자가용,5498,16,0
202604,시군구,서울,성동구,passenger,total,91934,대,승용>계,5498,16,1
202604,시군구,서울,성동구,special,private,217,대,특수>자가용,5498,16,0
202604,시군구,서울,성동구,van,business,942,대,승합>영업용,5498,16,0
202604,시군구,서울,성북구,truck,private,8107,대,화물>자가용,5498,17,0
202604,시군구,서울,성북구,special,official,10,대,특수>관용,5498,17,0
202604,시군구,서울,성북구,truck,total,9904,대,화물>계,5498,17,1
202604,시군구,서울,성북구,total,private,116946,대,총계>자가용,5498,17,1
202604,시군구,서울,성북구,van,private,2424,대,승합>자가용,5498,17,0
202604,시군구,서울,성북구,special,total,326,대,특수>계,5498,17,1
202604,시군구,서울,성북구,passenger,business,2008,대,승용>영업용,5498,17,0
202604,시군구,서울,성북구,truck,official,143,대,화물>관용,5498,17,0
202604,시군구,서울,성북구,special,business,101,대,특수>영업용,5498,17,0
202604,시군구,서울,성북구,total,official,292,대,총계>관용,5498,17,1
202604,시군구,서울,성북구,total,business,4834,대,총계>영업용,5498,17,1
202604,시군구,서울,성북구,total,total,122072,대,총계>계,5498,17,1
202604,시군구,서울,성북구,van,official,46,대,승합>관용,5498,17,0
202604,시군구,서울,성북구,truck,business,1654,대,화물>영업용,5498,17,0
202604,시군구,서울,성북구,van,total,3541,대,승합>계,5498,17,1
202604,시군구,서울,성북구,passenger,official,93,대,승용>관용,5498,17,0
202604,시군구,서울,성북구,passenger,private,106200,대,승용>자가용,5498,17,0
202604,시군구,서울,성북구,passenger,total,108301,대,승용>계,5498,17,1
202604,시군구,서울,성북구,special,private,215,대,특수>자가용,5498,17,0
202604,시군구,서울,성북구,van,business,1071,대,승합>영업용,5498,17,0
202604,시군구,서울,송파구,truck,private,16418,대,화물>자가용,5498,18,0
202604,시군구,서울,송파구,special,official,19,대,특수>관용,5498,18,0
202604,시군구,서울,송파구,truck,total,21529,대,화물>계,5498,18,1
202604,시군구,서울,송파구,total,private,228295,대,총계>자가용,5498,18,1
202604,시군구,서울,송파구,van,private,3591,대,승합>자가용,5498,18,0
202604,시군구,서울,송파구,special,total,811,대,특수>계,5498,18,1
202604,시군구,서울,송파구,passenger,business,7831,대,승용>영업용,5498,18,0
202604,시군구,서울,송파구,truck,official,157,대,화물>관용,5498,18,0
202604,시군구,서울,송파구,special,business,363,대,특수>영업용,5498,18,0
202604,시군구,서울,송파구,total,official,407,대,총계>관용,5498,18,1
202604,시군구,서울,송파구,total,business,14710,대,총계>영업용,5498,18,1
202604,시군구,서울,송파구,total,total,243412,대,총계>계,5498,18,1
202604,시군구,서울,송파구,van,official,101,대,승합>관용,5498,18,0
202604,시군구,서울,송파구,truck,business,4954,대,화물>영업용,5498,18,0
202604,시군구,서울,송파구,van,total,5254,대,승합>계,5498,18,1
